1,231808958,0,freqitem
2,178357702,0,cheetahlb-syn
3,186956026,0,cheetahlb-syn
4,393770473,0,cheetahlb-syn
5,657284411,0,cacheread
6,522139312,0,freqitem
7,328094953,0,cacheread
8,505929462,0,cheetahlb-syn
9,500715688,0,cheetahlb-syn
10,605438732,0,freqitem
11,1221178062,0,cheetahlb-syn
12,1925567100,28733975,cacheread
13,565219507,0,cheetahlb-syn
14,1134396150,0,cheetahlb-syn
15,642606364,0,cacheread
16,1442710761,0,cheetahlb-syn
17,2368268138,37269709,cacheread
18,1165396958,61866319,freqitem
19,1281842213,85933721,cacheread
20,1117239292,0,freqitem
21,2248548954,0,cheetahlb-syn
22,3575848523,0,cacheread
23,4926087995,142715664,cacheread
24,1197849384,35673463,freqitem
25,1239424697,49796461,cacheread
26,1134641832,0,cheetahlb-syn
27,2348967150,0,freqitem
28,3513413592,39062947,cheetahlb-syn
29,1180039214,0,freqitem
30,2663373773,123918630,cacheread
31,1170187490,0,cheetahlb-syn
32,991115943,0,freqitem
33,2067621745,0,freqitem
34,3476699930,86228039,cacheread
35,1056226130,0,freqitem
36,1076001308,0,cheetahlb-syn
37,2476584129,85070025,cacheread
38,1072219958,0,freqitem
39,2170623225,0,cheetahlb-syn
40,1296677490,56486441,freqitem
41,1089146987,0,cheetahlb-syn
42,2207180970,0,cheetahlb-syn
43,1452485257,0,cacheread
44,2579463392,81773974,cheetahlb-syn
45,1101949696,0,cheetahlb-syn
46,2638992709,93027166,cacheread
47,1089919533,0,freqitem
48,2645859275,0,cacheread
49,3768843872,89535520,cheetahlb-syn
50,1603788994,0,cacheread
51,3226949825,187444006,cacheread
52,1106908789,0,freqitem
53,1483716636,72396895,cheetahlb-syn
54,1100368137,0,freqitem
55,1173317657,0,cheetahlb-syn
56,2847713499,0,cacheread
57,4068274276,0,freqitem
58,5775936704,221500951,cacheread
59,1755170652,95111132,cacheread
60,1468292802,0,cheetahlb-syn
61,3075933196,163265406,cacheread
